,Job Title,Job Description,Salary,Position,Location,Updated Time,Expiry Date,Job Reference
22,Senior Data Analyst,"My client, an independent social and market research agency with a strong reputation for delivering high quality and high impact research, is looking for a Senior Data Analyst to join their team. Existing products need a full re-development, using more modern technology stacks to offer more responsive and user engaging web experiences.The Data Analyst will possess a strong understanding of business intelligence development, with experience in Power BI and Power Query. This individual will work cross-functionally to support project life cycles, ad-hoc analysis, creation of thorough documentation and training, and future proofing the reporting experience.Education and experience requiredBachelor’s degree in business administration, economics, computer science, management information systems, or related field or equivalent related experience1-3 years of experience as a Data Analyst working with Power BIAdvanced analytical knowledge of dataExcellent oral and written communication skills with a keen sense of customer serviceBusiness analysisKey responsibilitiesData validation, profiling, auditing and data cleansing activitiesDevelopment, production and management of data quality reportsIdentify opportunities for business process improvementsDevelop and maintain dashboardsDevelop and maintain reportsDevelop KPI's and other reporting measuresPresent KPIs to Senior Management on a regular basisSupport data requestsSupport Data EngineerAct as liaison between business team and ITProcess oriented with great documentation skillsPlease send your updated CV and Skills Matrix to [Email Address Removed]
Employer & Job Benefits: 

Medical Subsidy

",R Undisclosed,Permanent Junior position,"Cape Town Region, Western Cape",Posted 29 Jan 2022,Expires in 10 days,Job 2444116 - Ref CPT004174JB
23,Senior Decision Scientist  (Credit Risk) (CH747) at Capital H Staffing and Advisory Solutions,"Our client in the Banking industry is looking for an experienced Senior Decision Scientist in their Credit Work Stream.The purpose of the role is:  To manage and lead junior decision scientists within the Credit Decision Science function to perform analysis and develop analytical models to translate active business data into usable strategic information to inform the business on any critical and measurable credit and risk indicators. To ensure the objectives, plans, processes and standards within the Credit Decision Science function align with those of Credit Management and the company as a whole.  Key Performance Areas:  Provide expert input in respect of Granting Model, Account Management, Collections and Recoveries in order to underpin effective and strategic credit decision management. Relationship and stakeholder management to facilitate, drive and deliver effective credit decision science. Operational management of the Credit Decision Science function. People Management of the Credit Decision Science function. Reporting on components relevant to the Credit Decision Science function.  Qualifications   Honours degree with a major in data Science / Mathematics / Statistics / Informatics / Analytics / Risk Management (i.e., B. Comm (Statistics), B. Informatics) Masters Degree in Data Science or Mathematics (Ideal or Preferred)  Experience:Minimum:  5 years credit risk analytics environment experience and 2 years management experience including; Leadership / management of people Extraction and aggregation of data from large relational databases Data mining and predictive modelling   Ideal:  5 years business banking experience Relationship and stakeholder management  Skills  SQL and/ or SAS Skills (Required) Python skills (Very beneficial) R (nice to have)  Knowledge  Experience in credit risk management must include extracting and aggregating data from large relational databases, data mining and predictive modelling Developing Credit Risk Models / Scorecards Analytics Project management methodologies IT implementation cycle Credit life cycle Technical understanding and knowledge (different operating systems / databases / programming languages) General business acumen to identify the impact technical issues may have on design and delivery of solutions Best practices and tools in credit risk Interpretation of user requirements and translation into business requirements specifications Retail credit environment / industry Confidentiality and intellectual property implications and constraints Interpretation of user requirements Translation of business requirements into business requirement specifications HR Management policy and procedure People management skills and techniques  Conditions of Employment  Clear criminal and credit record A valid driver's licence is preferred General:  Only shortlisted candidates will be contacted. Should you not hear from us after 30 days you may consider your application unsuccessful In keeping with our client’s employment equity requirements, only South African citizens will be considered. Please include your current salary and salary expectations. 
",R Undisclosed,Permanent Senior position,"Johannesburg Region, Gauteng",Posted 30 Jan 2022,Expires in 19 days,Job 2446048 - Ref 4037349425
24,Epidemiologist (Fixed Term Contract) Wits Alive at AJ Personnel,"Main purpose of the job:  To drive the conduct of the Gavi-funded COVAX active vaccine safety surveillance study in eight AMC-92 countries  Location:  Parktown – Johannesburg  Key performance areas:  In conjunction with respective P.I/ P.I.’s manage full scope of the surveillance study conduct including protocol implementation, reports, reporting, and publications according to all applicable standards of the respective Sponsors and Alive Standard Operating Procedures Assess the project activities, M&E data, and external developments within the field in order to improve outputs on an ongoing basis Monitoring of study progress and site visits Assist with data analysis, prepare tables and write up methodologies used and results Contribute to and prepare publications Compile relevant reports and research findings to address questions that transpired from meetings, the management or donors’ requests Conduct a literature review to determine what research has been done and what the gaps in knowledge are Write research proposals and, when required, fund proposals Obtain ethical approval from relevant regulatory committees/bodies Write research protocols and SOPs for studies Develop and design research tools and obtain necessary approval Support sites with Community Advisory Group engagement regarding research studies Monitor the progress of research projects through ongoing liaison with Study Coordinators Collaborate closely with other investigators on related studies within the cluster and provide advice or guidance on study design, protocol, research tools, data analysis, and other research-related activities Provide expert advice and guidance on research database design, review specifications and testing plan (if applicable) Contribute towards the development of knowledge within the team by identifying relevant training needs and topics Develop relevant training material and presentations Participate actively in the research leadership groups and forums as required  Required minimum education and training:  Masters degree in relevant field (e.g. Epidemiology, project management), or relevant professional qualification Certification in good clinical practice Valid drivers license (own transport)  Desirable additional education, work experience, and personal abilities:  Practical experience in conducting disease surveillance and/ or medical research using various methodological designs Experience in data analysis (longitudinal data sets) and publication writing Familiarity with statistical software, particularly STATA Systematic and analytical in approach to research Tactful, respectful and non-judgmental Good administrative skills with working knowledge of Microsoft Office Able to work under pressure and adhere to deadlines Self-motivated, able to work independently and work as part of a diverse/multidisciplinary team Assertive, confident, and adaptable  Demands of the job  Traveling (national and international) will be required from time to time Overtime may be required to meet specific deadlines  TO APPLY:  Only if you do meet the minimum job requirements and experience as mentioned above, you may submit a detailed updated CV. Please Apply Online and complete your registration on Ditto Hire (our application tracking system) to enable and protect you as a candidate to accept the new POPIA terms and conditions. This will then create your permanent profile with which you can apply for all jobs as advertised by AJ PERSONNEL. However, you may remove your profile from AJ PERSONNEL when you are no longer in the job market. AJ Personnel is fully POPIA Compliant. Please take note that the applicants who do not adhere to the above criteria will not be considered for the respective position. The closing date for all applications: 31 January 2022. Wits Health Consortium will only respond to shortlisted candidates. Candidates who have not been contacted within two weeks of the closing date can consider their applications to be unsuccessful. Note WHC, in accordance with their Employment Equity goals and plan, will give preference to suitable applicants from designated groups as defined in the Employment Equity Act 55 of 1998 and subsequent amendments thereto. PLEASE NOTE: Our Client, WHC - Alive, maintains mandatory Covid-19 requirements, and as such only Covid-19 vaccinated incumbents will be considered for positions.  Please note:  AJ Personnel is only responsible for the advertising of the advertisement on behalf of their client Wits Health Consortium. AJ Personnel does not have any salary or other information regarding the position. 
About The Employer: 
BackgroundThe ‘African Leadership in Vaccinology Expertise’ (ALIVE) consortium is the South African National Research Foundation (NRF)-supported Flagship research entity of the University of the Witwatersrand.ALIVE partners at Wits University are internationally recognized scientists with expertise across the breadth of vaccinology research, from basic science to translational science, clinical research, and implementation studies.
",R Undisclosed,Contract Junior position,"Johannesburg Region, Gauteng",Posted 29 Jan 2022,Expires in 20 days,Job 2446040 - Ref 1264314706
0,Data Engineer at Datafin Recruitment,"ENVIRONMENT:TRANSFORM raw data into useful data systems & meaningful solutions as the next Data Engineer sought by a dynamic Fund Management Firm. Your role will also entail evaluating business needs and objectives, conducting complex data analysis, building algorithms and prototypes and exploring ways to enhance data quality and reliability. The ideal candidate must possess a MSc/BSc Degree in Computer Science/Information Systems or similar discipline, be Microsoft Certified: Azure Data Engineer Associate, have 2 years’ ETL, Azure Data Factory, Databricks, SQL, SSAS, T-SQL, U-SQL, C#, Python, Power BI, SAS VA, Power Pivot, Azure DevOps and .NET, prior experience in a similar role & a solid understanding of On-Premise, Cloud and Hybrid server architecture and [URL Removed] and organise raw data.Build and support data systems and pipelines.Evaluate business needs and objectives.Interpret trends and patterns.Conduct complex data analysis and report on results.Prepare data for modelling, ingestion, and storage.Build algorithms and prototypes.Combine raw information from different sources.Explore ways to enhance data quality and reliability.Identify ways to improve data efficiency.Identify opportunities for data acquisition.Develop analytical tools and programs, and potentially prototypes and algorithms.Develop, construct, test and maintain architectures.Collaborate with Software Engineers, Analysts, and Architects on several projects.Align architecture with business requirements.Use large data sets to address business issues.Identify ways to provide insights from data using hidden patterns and data analysis.Use data to discover tasks that can be automated.Deliver updates to stakeholders based on analytics.Assemble large, complex sets of data that meet non-functional and functional business requirements.Identify, design, and implement internal process improvements including re-designing infrastructure for greater scalability, optimizing data delivery, and automating manual processes.Work with stakeholders including the Executive, Product, Data and Design teams to support their data infrastructure needs while assisting with data-related technical issues.REQUIREMENTS:Qualifications –MSc/BSc Degree in Computer Science, Information Systems, or related field.Microsoft Certified: Azure Data Engineer Associate.Secondary Certifications, including the Microsoft Certified Solutions Expert (MCSE), include a wide range of topics with specific sub-certifications including MCSE: Data Management and Analytics.Experience/Skills –Minimum 2 years of experience with ETL tools, Azure Data Factory, Databricks, SQL, SSAS & T-SQL.Previous experience as a Data Engineer or in a similar role.Technical expertise with data models, data mining, and segmentation techniques.Knowledge of Programming languages (e.g., C# and Python).Hands-on experience with SQL database design.Data Visualization using Power BI, SAS VA, and Power Pivot.Tabular models (DAX) in Visual Studio.Strong in Data Governance, including Master Data Management (MDM) and Data Quality tools and processes.Good basic understanding of On-Premise, Cloud and Hybrid server architecture and infrastructure.U-SQL.Azure DevOps..NET.ATTRIBUTES:Great numerical and analytical skills.Possess hunger and a big drive for constantly being up to date with technology and new features and changes.A 'can do - will do' attitude, that guarantees the absolute best client experience.Enjoy working in diverse teams.While we would really like to respond to every application, should you not be contacted for this position within 10 working days please consider your application unsuccessful.COMMENTS:When applying for jobs, ensure that you have the minimum job requirements. OnlySA Citizens will be considered for this role. If you are not in the mentioned location of any of the jobs, please note your relocation plans in all applications for jobs and correspondence. Please e-mail a word copy of your CV to [Email Address Removed] and mention the reference numbers of the jobs. We have a list of jobs on [URL Removed] Datafin IT Recruitment - Cape Town Jobs.
Desired Skills: 

Data
Engineer
 Azure

",R Undisclosed,Permanent Executive position,"Claremont, Western Cape",Posted 29 Jan 2022,Expires in 9 days,Job 2444417 - Ref 21500
1,Data Analyst / Business Process Manager (Power BI) - Rivonia - up to R540k Per Annum at e-Merge IT Recruitment,"A privately held commercial property investment company and property fund whose expertise and know-how creates and unlocks hidden value is currently looking to utilize the services of a Data Analyst/ Business Process Manager to join their fantastic firm.  The position involves bridging the gap between technology and business. The focus is to build an automated reporting environment. It involves dealing with users in all departments and at all levels to improve the efficiencies in those departments, using technological services  Apply Now!!!  Requirements:  Diploma or Degree in Information Technology4 - 6 years' proven commercial experienceBusiness ProcessesSQLTSQLPower BIExcelResponsibilities:  Evaluate business systems/processes against efficiency requirementsDocument requirements, establish scope and objectives and determine strategy for implementing systems/technology that streamline business operations to align with business goalsDevelop business process maps with a strong focus on optimising the processProduce and implement automated reports to drive operational efficiencyDevelopment of an automated quality control process and reporting to ensure data integrity and validity based on client specific business requirementsDevelops, deploys, and customizes?business intelligence tools (Primarily MS SQL Server - TSQL and Power BI) to enable real time decision makingDevelop DataMart reporting environment with strong focus on data assurance and quality controlsProvide user support across the business technology platforms (Primarily MDA Property Management System and Laserfiche)Liaison between business and third-party system providersInvolves understanding business requirements and how business can use the systems more efficiently (Bulk Uploads, Bulk Updates of Information etc.)Understand the full data lifecycle within the businessDevelop data management processes that align to industry standardsDevelop procedure control manuals in line with the data management processesPolicy development that aligns to the data management processesLead and manage teams to develop and implement business solutions that drive operational efficienciesSupervise the assignments employees related to implementing and maintaining processes aimed at driving operational efficiencies across the business through technology platformsCoordinate with third party developers to assist in translating business specific requirements into technical specifications for workflow applicationsReference Number for this position is NN54153 which is a permanent role that is based in Rivonia offering a cost to company salary of up to R540k per annum negotiable on experience and ability. Contact Nigel on [Email Address Removed] or call him on [Phone Number Removed]; to discuss this and other opportunities.  Are you ready for a change of scenery? The e-Merge IT recruitment is a specialist niche recruitment agency. We offer our candidates options so that we can successfully place the right developers with the right companies in the right roles. Check out the e-Merge website [URL Removed] for more great positions.  Do you have a friend who is a developer or technology specialist? We pay cash for successful referrals!
Desired Skills: 

SQL
TSQL
Power BI
Excel

Desired Work Experience: 

5 to 10 years

Desired Qualification Level: 

Degree

","R41,700 - R45,000 per month",Permanent Senior position,"Johannesburg, Gauteng",Posted 28 Jan 2022,Expires in 31 days,Job 2447480 - Ref NN54153
2,Manager: Prepayment Analytics (Forensic Investigator) (Data Analyst) at Ntice Search,"Our Client, a Healthcare, Investment and Insurance provider who has been voted top employer of the year twice in a row, is looking for a Specialist/Manager supporting a FWA Health Investigative/forensic team. The successful candidate will be based at the Bellville office (Parc du Cap) and will be required to work from the office at least twice a week (Hybrid model).Duties and Responsibilities: Perform prepayment analytics using IBM's suite of real time fraud detection analytical tools to identify outlier behaviour and potential FWARefine these prepayment tools to improve the sensitivity and accuracy thereof in detecting irregular claims behaviourReview case reports or summaries prepared by direct reports to be presented to client and management for timeous intervention in mitigating future financial losses to client because of the detected fraudManage & support a team of FWA forensic InvestigatorsMentor and provide guidance to the Investigator team to focus the investigations conducted and to improve their skill set and report writingAudit the information received from providers and draw appropriate conclusions on the validity thereof and the extent to which the findings have been provenQuantify the extent of losses incurred and contribute to the compilation of a report as requiredRecommend necessary action to be taken, which could include closing a case  and/or presenting findings to the client forum for decisioning or punitive sanctions where requiredAttend client meetings or forums as well as healthcare service provider engagements as necessary, to address the risks at hand and to affect the necessary future action to be takenInvestigate client queries within the agreed service level and ensure that client receives timeous feedbackManage documentation, records, investigation notes and other evidence, ensuring accurate and accessible record keepingParticipate in legal processes where required and testify to investigation findings if necessaryLiaise with various internal and external stakeholders to build and maintain relationshipsKeep abreast of relevant legislation, regulation, and policies within the Healthcare industryContribute to the development of fraud prevention policies, strategies, plans and other related documentsParticipate and contribute to a culture of performance excellenceProven experience managing a high-performance team / leading a team of 5 staffMinimum Requirements:Education: Relevant B-degree in Accounting, Quantitative analysis, Risk Management, Auditing, Forensic Investigations, Criminal, or related fieldMatric or equivalent qualificationCertificate in Money Laundering Control, ACAMS Certificate or Certified Fraud Examiner (ACFE), or equivalent (Desirable)                     Membership to a Professional body (Desirable)                  Knowledge: Knowledge of Fraud, Waste and Abuse regulatory environmentKnowledge of Insurance, Health and Financial Services IndustryKnowledge of Risk management standards and methodologiesKnowledge of criminal investigations and proceedingsSkills:Advanced written communication and excellent report writing skillsProficient with Microsoft Office 365 (MS-Word, One Drive, MS Excel (at an advanced level of proficiency), MS PowerPoint, MS Outlook etc.)IBM Counter Fraud Discovery Asset for Medical Fraud (FAMS)Reflections for IBMIBM Cognos Dynamic CubesHighly developed interpersonal skillsGood composureMeticulous attention to detailProblem solvingCuriosity Strong data analytics (Essential)LeadershipStrong proficient analytical skills and ability to work independently with little or no oversight [URL Removed] aptitude to handle multiple tasks simultaneously and systematically under stressful [URL Removed] communication skills and ability to communicate at all levels throughout the organisation. Excellent time management skills.Experience:At least 5 years' experience in the field of forensic/corporate investigations Experience in data analysis and/or data analytics (Essential)Experience in Financial Crime Compliance an advantageExperience in complex forensic investigationsSystems Experience: FAMS, Cubes, Reflections (Essential)Able and willing to travel between operations and/ or other destinations as and when [URL Removed] include a Cover Letter setting out who you are as a person, your leadership style and your work achievements as a prepayment or quantitative analyst in support of your application.
Desired Skills: 

Forensic investigation
Data analysis
 Reflections

",R Undisclosed,Contract Management position,"Bellville, Western Cape",Posted 28 Jan 2022,Expires in 25 days,Job 2447461 - Ref 33244
3,Analyst Developer: Java (Cape Town or Johannesburg ) X4 at Capitec,"Purpose StatementResponsible for the design, development and maintenance of new and existing Capitec Bank applications according to specifications. ExperienceExperience in the following development languages and concepts: Java Spring Framework JBoss Hibernate Docker Kibana MSSQL Web Services - REST and SOAP OO Development Methodologies SOA Design and Implementation Preference will be given to candidates with experience in: Capitec Java Platform Integration with backend systems including: OpenText Documentum, Intelligent Capture, InfoArchive, Exstream and xPression Designing, developing, configuring, testing and debugging Documentum DFC based applications Document Scanning, Classification, Validation and Data Extraction and Recognition Qualifications (Minimum)A relevant qualification in Information Technology Grade 12 National Certificate / Vocational Qualifications (Ideal or Preferred)Certification in Systems Analysis or Design KnowledgeMin: Must have detailed knowledge of: IT systems development processes (SDLC) Application development Standards and governance Testing practices Ideal: Knowledge of: UML Systems analysis and design System architecture (technical design and implementation process Banking systems environment SkillsAnalytical Skills Problem solving skills Communications Skills CompetenciesDelivering Results and Meeting Customer Expectations Adhering to Principles and Values Applying Expertise and Technology Analysing Coping with Pressures and Setbacks Conditions of EmploymentClear criminal and credit record Capitec is committed to diversity and, where feasible, all appointments will support the achievement of our employment equity goals.
",R Undisclosed,Permanent Management position,"Stellenbosch, Western Cape",Posted 28 Jan 2022,Expires in 27 days,Job 2447474 - Ref ca_684406101
4,Data Engineer (x2) (JHB) at Datafin Recruitment,"ENVIRONMENT:DEVELOP, test and maintain optimal data pipeline architectures as the next Data Engineer sought by a rapidly growing Retail Analytics Tech Company in Joburg. Your role will also entail conceptualising and generating infrastructure that allows Big Data to be accessed and analysed, preparing data for predictive and prescriptive modelling & helping to build, maintain and optimise various ETL processes. The successful candidate must possess a Master’s/Bachelor’s Degree in Data Engineering/Maths/Stats/Computer Science or equivalent quantitative field, have 3-5 years’ proven experience as a Data Engineer/Software Developer or similar, familiar with Big Data tools in the Azure tech stack, Data Modelling and Data Warehousing experience, be able to build data pipelines and workflows & be proficient in Python, Spark and [URL Removed] test and maintain optimal data pipeline architectures.Conceptualise and generate infrastructure that allows Big Data to be accessed and analysed.Prepare data for predictive and prescriptive modelling, prepare raw data for manipulation by Data Scientists and Analysts.Help streamline Data Science workflows, adding value to the product offering and regional Data projects.Build, maintain and optimise various ETL processes.Work with stakeholders including Data, Design, Product and Executive teams and collaborate with them on business challenges.Collaborate with Analytics and Business teams to improve data models that drive business processes and that feed BI tools.Construct large complex data sets to meet functional business requirements.Build infrastructure required for optimal ETL form a wide variety of data sources in Microsoft Azure.Implement processes and systems to monitor data quality, ensuring production data is always accurate and available.Identify, design and implement internal process improvements, including redesigning infrastructure for optimal data delivery.Remain up to date with industry standards and technological advancements that will improve the quality of outputs.REQUIREMENTS:Qualifications –Master’s/Bachelor’s Degree in Data Engineering, Analytics, Engineering / Computer Science / Statistics / Mathematics / IT or related quantitative field.Experience/Skills –3-5 Years’ proven experience as a Data Engineer, Software Developer or similar.Experience in Python, Spark, SQL.Familiarity with Big Data tools in the Azure tech stack.Building data pipelines and workflows.Data Modelling and Data Warehousing.While we would really like to respond to every application, should you not be contacted for this position within 10 working days please consider your application unsuccessful.COMMENTS:When applying for jobs, ensure that you have the minimum job requirements. OnlySA Citizens will be considered for this role. If you are not in the mentioned location of any of the jobs, please note your relocation plans in all applications for jobs and correspondence. Please e-mail a word copy of your CV to [Email Address Removed] and mention the reference numbers of the jobs. We have a list of jobs on [URL Removed] Datafin IT Recruitment - Cape Town Jobs.
Desired Skills: 

Data
Engineer
 JHB

",R Undisclosed,Permanent Executive position,"KwaZulu-Natal, South Africa",Posted 29 Jan 2022,Job expires today,Job 2443057 - Ref 21497
5,Intermediate Data Analyst at Reverside,"Intermediate Data Analyst Role in JohannesburgReverside is an IT services provider; we are always looking for professional candidates to join our team in Software Development, providing opportunities to work on exciting projects, within our well established client base.We are looking for  Data  Analyst Professionals with 3 - 5+ years solid development experience in Systems Analysis and has a solid knowledge base of the SDLC.
About The Employer: 
Data Analyst Job SummaryWe are seeking an experienced Data Analyst to join our growing organization. In this position, you will analyze existing Data for improvement, recommend new Data processes, and keep detailed reports of all structural and process changes. You must follow best practices and align with company goals while creating better procedures and solutions to increase performance and [URL Removed] Analyst Duties and ResponsibilitiesEvaluate company Data systems and current processesCompile objectives for improving and streamlining company proceduresEvaluate company performance, information, and formatsAnalyze company software and hardware uses and needsTrack company Data systems progress and report on progressDevelop procedures to improve existing Data systemsAdvise on best practicesSystems Analyst Requirements and QualificationsA relevant degree or diploma as qualification3-5 years of previous experience in Data analystProficient computer skills, including Microsoft Office Suite (Word, PowerPoint, Outlook, and Excel) etc.Able to analyze system records and translate dataExcellent interpersonal skills and solid communication with all levels of managementAble to multitask, prioritize, and manage time efficientlySelf-motivated and self-directedMust be able to write queries in SQLhave training in Power BI SkillsOther Skills:Agile MethodologyGood professional communication skillsSelf-Motivated and have the ability to adapt quicklyCommitted and dedicated to achieving resultsInnovative and adhere to best coding practices
",R Undisclosed,Contract Intermediate position,"Gauteng, South Africa",Posted 28 Jan 2022,Expires in 17 days,Job 2445575 - Ref MO220119_534
6,Intermediate Data Engineer,"Our client, a data science-focused company using the latest AI and ML tools, provide a clear roadmap to their large global clients solve complex issues.  Think like a scientist; build like a software engineer. Work in a company where you are valued and you have a voice. If you enjoy a fast-paced, high performance, cross-collaborative environment this may just be the place for you.  The environment:You will create robust and scalable computing environments which bring data-driven technologies to users. You will be constantly challenging yourself with your team(s) to build more effective data architectures, flexing the freedom to incorporate new technologies and expand the computing power.  We're looking for strong candidates with a mix of the following:  Fluency in Python and some variety of SQLA strong degree in computer science, or a quantitative disciplineExperience in designing and setting up large data systems, with an ability to assess the tradeoffs in architectural decisionsExperience with distributed processing frameworks (Hadoop, Spark etc)Knowledge of large data architectures (data warehouses, lakes, meshes, etc)Experience working in cloud environments, especially Azure
Desired Skills: 

python
SQL
distributed processing frameworks
Hadoop
Spark
data warehouses
lakes
meshes
cloud environments
Azure
Big data

Desired Work Experience: 

2 to 5 years

Desired Qualification Level: 

Degree

Employer & Job Benefits: 

fully remote work
learning budget
performance bonus
20 days leave
study leave
laptop

","R50,000 per month",Permanent Intermediate position,Work From Home,Posted 29 Jan 2022,Expires in 23 days,Job 2445914
7,Data Engineer - Johannesburg - R700k PA at e-Merge IT Recruitment,"Are you a Data Engineer with 5-10 years' experience? If yes then this opportunity it's for you. The Leading financial institution providing great financial services is searching for people like you to join their sturdy team.  You will need to have the ability design, construct , install, test and maintain highly scalable data management systems ; Ensure systems meet business requirements and industry practices ; Develop data set processes for data modelling, mining and production; Install and update disaster recovery procedures and stay abreast of developments in fields of expertise .  If this describes you then apply now!  Requirements:  5- 10 years' experienceBSC Computer Science/ Advanced Diplomas / Relevant CertificationETLSQLDatabasesConducting root cause analysisExperience in an agile development environment using Scrum and/or Extreme ProgrammingReference Number for this position is RR54267 which is a permanent position based in Johannesburg offering a cost to company salary of R700k PA negotiable on experience and ability. Contact Ronewa on [Email Address Removed] or call her on [Phone Number Removed]; to discuss this and other opportunities.  Are you ready for a change of scenery? The e-Merge IT recruitment is a specialist niche recruitment agency. We offer our candidates options so that we can successfully place the right developers with the right companies in the right roles. Check out the e-Merge website [URL Removed] for more great positions.  Do you have a friend who is a developer or technology specialist? We pay cash for successful referrals!
Desired Skills: 

ETL
SQL
Databases
Scrum

Desired Work Experience: 

5 to 10 years Recruitment

Desired Qualification Level: 

Degree

","R58,300 per month",Permanent Senior position,"Johannesburg, Gauteng",Posted 29 Jan 2022,Expires in 23 days,Job 2445905 - Ref RR54267
8,Data Engineer with AWS,"Are you a Data Engineer with at least 6 years of experience. If so, keep reading !  One of the largest growing automotive industries, The German Giant, BMW is looking for a Data Engineer to join their dynamic team.  Skills that are required from you:  TerraformPython 3xSQL - Oracle/PostgreSQLPy SparkBoto3ETLDockerLinux / UnixBig DataGlueCloudWatchSNSAthenaS3Tasks that will be carried out by YOU, should you be successful:  Applies advanced knowledge of areaAbility to develop within a specific sought-after programming languageStrong working knowledge with software development tools, techniques and approaches used to build data engineering solutionsCloud computing technologies, Business drivers and emerging computing trends.Let's get those applications out!
Desired Skills: 

Python
SQL
ETL
Docker
Linux
CloudWatch
Big Data

Desired Work Experience: 

5 to 10 years

",Undisclosed,Permanent Specialist position,"Midrand, Gauteng",Posted 29 Jan 2022,Expires in 14 days,Job 2443986 - Ref Shivano
9,DATA ANALYST at Reverside,"DATA ANALYST Role in JHBWe are looking for DATA ANALYST with 3 - 5+ years solid development experience in DATA ANALYSIS and has a solid knowledge base of the SDLC.
About The Employer: 
Description:Knowledge: • Strong understanding of  Data Integration process (SSIS/Glue)•  Experience working with database tables/views and other Database elements• Understanding of relational databases and Modelling Techniques (SQL Server, DB2)• Understanding of data mining process• Strong Understanding of ETL processesSkills:• Financial Sector Knowledge• Data Modelling• AWS Data Analytics background• SQL Skills• Data AnalysisSoft Skills:Ability and willingness to coach and give training to fellow colleagues and users when required
",R Undisclosed,Contract Senior position,"Gauteng, South Africa",Posted 27 Jan 2022,Expires in 25 days,Job 2447254 - Ref MO220127_549
10,Data Engineer (Senior) at Parvana Recruitment,"Responsibilities: Hands-on involvement in building data pipelines.Implementing pipelines within agreed timelines.Providing implementation instructions for new development.Conducting investigations and solving system issues.Preparing production deployment packages.Ensuring successful implementation.Providing coaching and mentoring to other team members.Participation and proactive problem-solving to meet team objectives. Qualifications: Relevant Degree in Computer Science or related. Skills / Experiences: 5+ years of data engineering experience in a variety of tools and programming languages.Data processing and management experience.Familiar with Big Data Technology.Statistical solid analysis and modelling.Understanding of database architectures.Experience with SQL-based technologies (e.g. PostgreSQL and MySQL, MSSQL).Experience with NoSQL technologies advantage (e.g. Cassandra and MongoDB).Data modelling experience.Experience in working with either MatLab, SAS, R, Spark etc.Experience in the following would be advantageous:Agile methodologies.Working directly with clients, leading projects and mentoring engineers.Scripting and programming languages (Python, Ruby, PowerShell, Golang, etc.).Working with server virtualisation E.g. (AWS, Microsoft Azure, OpenStack etc.).Proficiency in Linux and Windows systems (RHEL, Ubuntu, CentOS, etc.).Experience with continuous integration tools (Example. Jenkins, Azure DevOps, AWS Code commit, TeamCity etc.).Working with Kafka, Spark, Cassandra, Mongo.Experience with test automation and tools. 
Desired Skills: 

Data Engineer
Big Data
 Data Processing

",R Undisclosed,Permanent Senior position,Work From Home,Posted 28 Jan 2022,Expires in 8 days,Job 2444003 - Ref 448937000053983
11,DATA ENGINEER at Reverside,"DATA ENGINEER Role in JHBWe are looking for DATA ENGINEER Professionals with 5+ years solid development experience in DATA ENGINEERING and has a solid knowledge base of the SDLC.
About The Employer: 
Role tasks:Applies advanced knowledge of area:• Managing projects / processes• Ability to develop within a specific sought-after programming language• Strong working knowledge with software development tools, techniques and approaches used to build application solutions• Working knowledge with software development tools, techniques and approaches used to build application solutions• Cloud computing technologies, Business drivers and emerging computing trendsGeneric Technical / Functional skills • Understanding of integration between different technologies • Assisting with the business case• Coordination between development and support environments• Planning and monitoring• Eliciting requirements• Requirements organisation• Translating and simplifying requirements• Requirements management and communication• Requirements analysis• Document requirements in appropriate format depending on methodology followed• Assist with identification and management of risks Specific Technical / Functional skills• Expertise in ETL optimization, designing, coding, and tuning big data processes using Apache Spark.• Experience with building data pipelines and applications to stream and process datasets at low latencies.• Show efficiency in handling data - tracking data lineage, ensuring data quality, and improving discoverability of data.• Sound knowledge of distributed systems and data architecture (lambda)- design and implement batch and stream data processing pipelines, knows how to optimize the distribution, partitioning of high-level data structures.• Experience designing and supporting large-scale distributed systems in a production environmentBeneficial: • Certification: AWS Certified Developer Associate / Solutions Architect• Bitbucket / Git • Jira / Confluence • Familiar with data streaming services such as Apache Kafka, Amazon Kinesis, or similar tools• CI / CD Tool (Nexus / Jenkins).Soft skills:• Ability and willingness to coach and give training to fellow colleagues and users when required
",R Undisclosed,Contract Senior position,"Gauteng, South Africa",Posted 28 Jan 2022,Expires in 26 days,Job 2447493 - Ref MO220128_550
