Job Title,Job Description
"Manager, Data Science","Job Description
About the job
As the world's largest research organization, NielsenIQ is powered by talented creative scientists. Our Data Scientist associates come from diverse disciplines such as statistics, research methodology, mathematics, psychology, business, engineering, physics and demography. These professionals drive innovation, new product ideation, develops complex analysis and delivery of data insights to measure what consumers buy.
Responsibilities
Own Data Science for a specific market/industry on new and already established products, services and design.
➢ Be a Data Science business partner for commercial, product, and technology leaders to achieve country specific goals including revenue and EBITDA and other objectives.
➢ Regularly meet directly with clients to understand strategic business needs, translate them into analytical strategies and offer innovative solutions driven through state-of-the-art methodologies in Data Science.
➢ Innovate and create out of the box solutions by leveraging large and diverse data sets and state of the art technologies.
➢ Collaborate and align with other Data Science team units to deliver and prioritize objectives.
➢ Leverage Product Enhancement, Product and Technology teams to bring to the market services and solutions.
➢ Contribute to identifying third parties and evaluate their capabilities and data sets in order to develop new solutions.
➢ Design and conduct studies, tests and use advanced analytics techniques to build proof of concept and prototypes for use cases.
About you
➢ Soft skills qualifications
Passionate about innovation and technology
Experienced connecting with stakeholders and clients proactively, finding ways to link
client's needs with the business.
Innovative mindset, creativity, thinking out-of-the-box.
Good ability to effectively convey complex concepts to non-experts.
Strong Problem-Solving skills
Intellectual curiosity and persistence to find answers to questions.
Great collaborative and interpersonal skills to communicate at all levels.
Ability to set priorities.
Good leadership skills.
Business acumen, consultative skills and empathy for clients.
Great command of written and spoken English
Eager to continuously learn and adapt to changing technologies and tools.
Good ability to make decisions and successfully manage multiple assignments
concurrently in a high pressure environment.
Good people management skills and coaching.
Experience
Professionals with degrees in Mathematics, Data Science, Statistics, or related fields involving statistical analysis of large data sets.
3-5 years of experience in market research or relevant field
Solid understanding of CPG/FMCG Industry and Retail market impact on client’s business within the market
Qualifications
Soft skills qualifications:
Passionate about innovation and technology
Experienced connecting with stakeholders and clients proactively, finding ways to link client's needs with the business.
Innovative mindset, creativity, thinking out-of-the-box.
Good ability to effectively convey complex concepts to non-experts.
Strong Problem-Solving skills
Ability to set priorities.
Good leadership skills.
Great command of written and spoken English
Good ability to make decisions and successfully manage multiple assignments concurrently in a high-pressure environment.
Analytical and Technical skills:
Solid understanding of Statistics
Strong aptitude for data analysis.
Business acumen, finance and budgeting knowledge
Experienced in data visualization tools (e.g., Spotfire, Tableau, etc.) and mapping tools.
Experienced with programming languages such as Python and R.
Optional Qualification
Working knowledge with collaboration tools such as Google Suite (Google site, Google Data Studio), Atlassian, Git, Bitbucket and Confluence.
Familiar with Machine Learning
Familiar with Cloud computing such as AWS, GCP, Microsoft Azure, etc.
Familiar with Project Management.

Additional Information
About NielsenIQ
NielsenIQ is a global measurement and data analytics company that provides the most complete and trusted view available of consumers and markets worldwide. We provide consumer packaged goods manufacturers/fast-moving consumer goods and retailers with accurate, actionable information and insights and a complete picture of the complex and changing marketplace that companies need to innovate and grow. Our approach marries proprietary NielsenIQ data with other data sources to help clients around the world understand what’s happening now, what’s happening next, and how to best act on this knowledge. We like to be in the middle of the action. That’s why you can find us at work in over 90 countries, covering more than 90% of the world’s population. For more information, visit www.niq.com.
NielsenIQ is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action-Employer, making decisions without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, marital status, protected veteran status or any other protected class."
Data Scientist,"Job & Company Description:
You will design, develop, maintain and support projects using a variety of Big Data/Data Science technologies. You will use machine learning techniques, data mining, do ad-hoc analysis and create automated anomaly detection systems as well as dashboards, reports and visualisations.
Education:
Matric
BSc Honours Computer Science / Engineering is mandatory.
Masters or Doctoral degree is preferred
Job Experience & Skills Required:
4-5 years experience in a comparable environment
Very strong analytical, communication and negotiation skills
Data Science (essential)
AI and ML experience (essential)
R, Weka, NumPy, MatLab (essential)
Excellent understanding of machine learning techniques and algorithms such as k-NN, Naïve, SVM
Java
Python
HTML
JavaScript
Linux shell scripting
NodeJS
MSSQL
MySQL
MongoDB
ElasticSearch
Cassandra
HDFS, Hadoop, Hbase
Apply now!"
Data Scientist (Machine Learning),"Looking for an Exceptional Candidate to fill a Data Scientist specialising in Machine Learning
? Imagination, creativity, and innovation.
? Well-mannered and wholly ethical conduct.
? Teamwork and reciprocity.
? Perpetual self-betterment.
? Data cleaning.
? Python
? Understanding of Bayesian Statistics
? Time series analysis.
? Data analytics.
? Producing production quality code.
? Writing reports and documents on algorithms developed.
? Travel on behalf of the company when so required.
Should you meet the requirements for this position, please email your CV to it.jobs@staffingprojects.co.za. You can also contact Angelique on 021 555 0432 or visit our website at http://www.staffingprojects.co.za/ NOTE: When replying to the advert, also include the reference number in the subject line. Correspondence will only be conducted with short listed candidates. Should you not hear from us within 3 days, please consider your application unsuccessful."
Data Scientist,"Data Scientist

Ref. No:
CER011372/MaX

Salary Range:
R550000 - R600000 Annually

Brief Description:
A great opportunity has become available for a Senior Data Scientist at one of the consultancy firms.

Job Description:
Description:

The purpose of this Data Scientist is to understand requirements from business and have a good understanding of business in general and the ability to do trend analyses, sensitivity analyses and build scenarios


Education:
Mathematical/Analytical B.Sc. or BCom degree


Duties/Responsibilities:

Building models required for the business to guide business, including financial, decisions
Perform analysis for business to give them a better understanding of relevant data/trends/behaviour
Understand general commercial principles so that sound and well-designed models can be built
Pro-active in suggesting for opportunities as well as making analytical observations on any aspect that would be beneficial to business


Experience

 3 years’ experience in an analytical and modelling position (preferably in the banking sector)
R, Python, SAS Base, SQL
Advanced Excel knowledge


Please visit our website www.communicate.co.za to submit your CV directly or to view other I.T related jobs. If you have not had any response in two weeks, please consider your application unsuccessful. Your profile will be kept on our database for any other suitable positions.

We also invite you to contact us to discuss other exciting career opportunities in our niche area! For more information, please call Mandisa Xulu on 087 351 0713 or email on mxulu@communicate.co.za


Sector:
Analysis
Town:
Midrand
Date:
23/01/2022
Expiry Date:
22/02/2022"
Data Scientist - Industrial (6 month contract renewable),"Our client, an international software and services organisation, is looking for a Data Scientist - industrial operationsPerform requirements analysis of assigned projects to ensure correct mapping of requirements to solution designPerform data science solution development including:Performing exploratory data analysis,Performing statistical data modeling,Building descriptive/predictive/prescriptive models,Performing experimentation with testing & validation,Performing model optimizationDeliver high quality solutions to meet project requirements using state-of-the-art DA/DS/ML/AI techniquesImplement solution using agile sprintsCollaborate with business and technical stakeholders to deliver projectsImplement appropriate visualization artefacts to demonstrate solution performance for project stakeholdersCommunicate project outcomes with project stakeholders through presentations & reportsSkills & Experience: Knowledge about industrial or machine analytics is required. Must have domain experience in some industrial sectors such as – Oil & Gas, Energy, Utilities, Automotive etc.Hands-on experience in at least some of the following processes or related areas in the context of analytics and associated challenges is required:Predictive maintenanceRisk analysisCondition monitoringReliability and failure modelingProcess modelingAny experience in the area of discovery and analytics involving any of the following would be an advantage:Image, Video analysisSpectral data analysis (hyper spectral image analysis etc.)Signal data processing (Infrared, imagery etc.)Hands on experience in ML/AI/analytics implementationIndustry Analytics/ML/AI project delivery experience using Agile methodsExperience in building production DS solutions including API deployment using CloudWorking directly with business stakeholders, data engineers, solutions architects and product managers in creating robust solutions.Current knowledge about ML algorithms, libraries and frameworks (should be demonstrable via coding test in Python etc. languages)Effective verbal and written communicationEducation & Qualifications: PhD or Masters in Computer Science and/or an industrial discipline.Demonstrated continuous learning in ML / Data Science through formal training/certificationML Ops/ AI Ops related formal qualification and/or equivalent experience is a plus.Job Type: Contract"
Data Engineer,"PBT Group has an opportunity for an Data Engineer.

Duties:

Design, construct, install, test and maintain highly scalable data management systems
Ensure systems meet business requirements nd industry practices
Build high-performance prototypes and proof concepts
Research opportunities for data modelling, mining and production
Integrate new data management technologies and software engineering tools into existing structures
Create custom software component (e.g.) specialized UDFs) and analytics applications
Employ a variety of languages and tools (e.g. scripting languages) to marry systems together
Install and update disaster recovery procedures
Recommend ways to improve data reliability, efficiency and quality
Collaborate with data architects, modellers and IT team members on projects goals
Determine in conjunction with the Data Architect what data management systems are appropriate
Obtain information from the data scientist to determine which data is needed for analysis to determine and provide data which is needed
Support the achievement of the business strategy, objectives and values
Stay abreast of developments in field of expertise
Ensure personal growth and enable effectiveness in performance of roles and responsibilities
Participate and support corporate responsibility initiatives for the achievement of business strategy
Seek opportunities to improve business processes, models and systems through agile thinking

Experience:

ETL
Databases
SQL"
Senior Scientist,"SENIOR SCIENTIST (BIOPROCESSING GROUP)REF: BIO /2022/SCBIOMETALLURGY DIVISIONPRIMARY JOB PURPOSEThe successful candidate will be based full-time in the Bioprocessing Group in the Biometallurgy Division and will be expected to perform research in the areas of:Bioleaching of precious and base metal resourcesIdentification of micro-organisms in bioprocessesTreatment of mine effluents and solid wastesKEY PERFORMANCE AREAS INDICATORPlay a leading role in execution of work as a chief investigator of projects within the division/groupPlan and manage projects to ensure efficient use of time, equipment and facilities, including coordinating with others.Formulates R&D questions, is aware of trends in the relevant field and is able to formulate ideas relating to technical projects, develop research questions, design experiments, identify problems, and evaluate and implement solutions.Design, operate and oversee discipline specific experimental work and ensure that procedures are complied with, and quality control and continual improvement are applied.Collect and interpret data at a quantitative and qualitative level using discipline specific standard methodologies and procedures. Including the preparation of analytical and descriptive narratives. Ensure that the interpretation is based on sound scientific / engineering theory.Prepare proposals for internal (Open Call) and external research funding.As an Investigator responsible for the assessment and management of all risks at a project level.Analyses, interprets and reports on research outcomes. This includes reports, publications, presentations, inventions, patentsLead, guide, mentor and train staff and interns.Ensure proper care in the use and maintenance of equipment and supplies, promote continual improvement in the workplace.Adhere to and enforce all SHEQ requirements.QUALIFICATION AND EXPERIENCEMin: MSc in areas related to bioprocessing of minerals, waste and mine effluent, biohydrometallurgy. Ideal: PhDAt least 3-5 years’ experience following first graduation (BSc Hons/BEng) in the field directly related to the duties and responsibilities undertaken in the Division. Ideal: 8-10 years’ experience.SALARY PACKAGE: NEGOTIABLE.CLOSING DATE: 26 January 2022Please apply via Mintek website at www.mintek.co.zaShould you not hear from us within 1 month after the closing date, consider your application to be unsuccessful.Mintek is an equal opportunity, affirmative action employer, whose aim is to promote representivity in all levels of occupational categories.Job Type: Permanent"
Medical Scientist,"A career opportunity exists for the right candidate in Cape Town - Medical Scientist
 
Reference No: 558391

An opportunity has presented itself to appoint a suitably qualified candidate into the position of Medical Scientist. This is a Casual Hourly Rate - 3 Month Contract position based at Cape Town - Medical Scientist.


Job Summary:

Analyses laboratory samples in order to provide results for medical practitioners to diagnose treat and prevent diseases.


Minimum Criteria Required:

BSC : Registration as Medical Technician with HPCSA



Experience:

0-2 Yrs Relevant Working Experience



Relevant Job Knowledge:

Anatomy, physiology and medical terminology relevant to medical pathology
Laboratory information systems
Laboratory standards operating procedures and processes
Medical ethical guidelines in the medical pathology fields
Organisational policy procedures


Key Performance Areas:

Ensures the implementation of service levels and quality standards in accordance with standard operating procedures and service level agreements.
Assists the laboratory manager with overseeing and monitoring equipment maintenance, asset management, procurement of goods and staff overtime expenditure to ensure the most effective utilisation of resources, optimisation of stock levels and reduction of costs at all times.
Performs diagnostic testing procedures on instrumentation, analyses results in one or more sections of a laboratory and interacts with pathologists on technical matters to provide all relevant data that may pertain to the prevention, diagnosis or treatment of diseases.

Records, verifies and amend (when required) test results to ensure integrity of test result database on laboratory information system.
Reports test results via phone or computer entry to ensure timeous dissemination of data required by health and medical professionals.

Oversees the maintenance and calibration of the equipment used in the laboratory to ensure that it is operating efficiently and providing accurate results. This includes ensuring that instrument maintenance and quality control results are recorded as well as trouble shooting.
Assists the laboratory manager to ensure a safe working environment in accordance with relevant legislation and all safety protocols. This includes the on-going maintenance of quality control standards, adherence to infection control measures, correct disposal of bio-hazardous waste and project management (as per delegated responsibilities) of the preparation process for internal and external quality control audits.
Assists the laboratory manager to ensure that incidents and instrument failures are reported by laboratory staff, thereby ensuring compliance with relevant organisational policy and laboratory standard operating procedures.

Performs investigations into and resolution of customer complaints to ensure a positive image of the organisation by clients and patients and to promote the services of Lancet laboratories.
Attends in-service training and seminars and participates in continuing professional development (CPD) activities to continuously update knowledge and skills as well as comply with professional registration requirements. This includes ensuring the availability of up to date records that can be presented immediately on request thereof.
Teaches and trains laboratory personnel, interns and students, medical colleagues and associated health workers in laboratory techniques, processes and systems, if assigned by laboratory manager and deemed competent.
Adheres to professional conduct requirements in line with organisational policy and relevant professional body ethical standards.
Performs supervisory responsibilities including the following, conflict resolution,(IR matters), encourage team development through leadership, motivation, lead by example, involved in the disciplinary, processes, monitoring of time and attendance and evaluation of employee performance on work methods according to company policy and procedure.



Competencies:

Ability to work in a pressured environment
Ability to work as part of a team
Accuracy
Attention To Detail
Confidentiality / Sensitivity
Hand-eye co-ordination
Planning and organising
Problem solving
Rule orientation
Self-management
Team leader skills
Follow up of Incompletes


Remuneration:

Compensation is commensurate with qualification and experience level.


PLEASE NOTE

Closing date: 2022/01/31"
Senior Data Scientist,"Senior Data Scientist position available in Sandton.

Requirements:

South African Citizen
Minimum 5 years experience
Python and/or R
STEM Postgraduate Qualification"
Analytics Engineer,"CAPE TOWN, AMSTERDAM, EMEA (REMOTE)
Please note that as this is a remote based position, we are open to applications from candidates based throughout the UK and EMEA region.

Yoco is a FinTech company. We focus on building tools and services to help small and micro businesses get paid, run better, and grow. We believe in unlocking entrepreneurial potential anywhere, empowering people to thrive and driving our economy forward.

Yoco was founded in 2013. Today we are a company of over 150 people all driven by a common goal: keeping the needs of our customers at heart. Our vision is Open Commerce and we want to do this to enable people to thrive.

We strive to delight our customers. Our Analytics Engineering team works in the intersection between data, engineering and our internal customers - Product, Acquisition and Growth, Operations, Customer Support, Finance and beyond. The team is responsible for building data models from backend services with the desire to make data a genuine competitive advantage. We want a team capable of building an amazing platform to support daily decision making, long-term strategy, and provide best in class analytics to the entire organisation.

You'll be a senior contributor in our core Data team, working across a variety of projects to deliver consistent, quality-assured data across all functional areas. You’ll help us build reliable, repeatable data frameworks while driving best practices across all of our disciplines, building processes designed for scale and automation.

This role will be embedded within the core Data team, it's key to build strong collaborative relationships with analysts and leaders in each area, while fully understanding our entire suite of systems. You will be expected to engage in the granular detail and the nuances of each system so the data models built will be fully understood, with clear lineage and a solid business understanding.


We have embraced a remote work culture, so you’re welcome to apply from anywhere in South Africa.


IDEAL CANDIDATE | WHAT YOU WILL BE DOING?


Key Responsibilities:

Drive best practices for our Data Warehouse - framework design, logical data modelling, implementation, metadata and testing standards
Collaborate across the business to define data concepts, KPIs and dimensions in an intuitive manner, distilling complexity whilst still capturing the nuance
Lead the building of robust data models of backend services that support all areas of the business
Investigate and effectively work with colleagues from other disciplines to address and improve data quality at the source
Drive the thinking on robust models that enable data inclusivity so producing analytics is available to all at Yoco
IDEAL CANDIDATE | WHAT WE ARE LOOKING FOR?


Key requirements to perform responsibilities:

Background:
An experienced Data Modeller/Analyst or Data Scientist, a specific specialisation and deep understanding of data modelling
Experience in working in either a growth-focused or technology organisation, ideally working together and collaborating with the data analysts, data engineers, and engineering team, as well as other business stakeholders
Comfortable with a variety of Data Analytics tools and platforms from cloud platform databases (Redshift, Snowflake, BigQuery) with SQL, Python, and front-end tools e.g. Tableau, Power BI, Looker
A track record of delivering results from data, creating business-relevant core data models and key dimensions that have a broad applicability
Our tech stack:
AWS (Redshift, S3, Spectrum) for all of our analytics infrastructure
Gitlab and SQL for our data modelling and warehousing
Airflow for our transformations and loads
Fivetran and Segment for extracts and loads
Tableau, Periscope, Mixpanel, and Looker for our Visualisations
AWS for most of our backend infrastructure
General experience:
+ years experience in a technical data role
Very strong SQL experience, as well as optimising SQL performance
Experience with building a data warehouse and data platform frameworks
Strong data modelling expertise
Strong attention to detail
Bonus points:
Experience with Redshift, Looker

THE YOCO FORMULA - HOW WE CREATE VALUE

The Yoco formula is a validated approach to work and a set of behaviours that create maximum value for our customers and help us grow.

Core Values - Our way of working to create value & grow

Stay Connected
Make Space to Explore
Keep it Simple
Master your Craft
Leadership Principles - How we show up, engage & treat each other

Get to know each other personally
Say what you think and challenge me directly
Be courageous and focus forward
Don’t let ego get in the way
To support this, we have built a role-based organisation where every individual is given the space to focus and develop their innate strengths. Everyone at Yoco has the opportunity to lead a project and become a specialist, enabling flexibility, collaboration and accountability at all levels. You will be working with a diverse, motivated and skilled team who will continuously stretch you as an individual. To learn more about our culture, go to our #YocoLife page or subscribe to our Exposure Gallery

Join us on a meaningful journey at Yoco, and help enable our merchants to thrive through Open Commerce!

Please note…

Yoco encourages applicants from diverse backgrounds to apply. Open positions at Yoco are competitive and we often receive high volumes of applicants. If you have not received further updates on your application after three weeks, you’re welcome to request feedback."
Junior Data Architect,"Business Unit: Discovery Health
Function: Data Sciences
Date: 24-Jan-2022
Why you should work at Discovery
Discovery is a high-performance organisation that prides itself in attracting the finest talent, we challenge ourselves to find solutions that make a difference in the world. Our environment is always buzzing with energetic, smart, and motivated people who have a bias for action and truly believe in the core purpose and values of Discovery.
What is the role
In the Discovery Health Data Science unit, our core purpose is “creating intelligence for a healthier tomorrow” by leveraging Discovery’s vast data to drive valuable insights to improve both clinical and operational environments. Key to our purpose is obtaining and structuring quality data, leveraging cutting edge analytical innovations and delivering actionable insights in a sustainable and meaningful way. We leverage an integrated, collaborative, and multidisciplinary approach to ensure our objectives and goals are met.
The role entails architecting the data platform layer, data cleansing layer, reporting and analytical layers within a cloud environment. Work closely with Data Scientists to understand model features and link back to transactional environment to understand data quality, data relationships and data availability. Document and define frameworks with the Data Engineer to build the data platform. Together these teams will enable data driven actionable insights. The role may include international exposure with Discovery partnerships.
What you will do
The successful applicant will be working within a highly specialized and growing team to enable delivery of data and advanced analytics system capability.
Responsibilities will include:
Provide Data Architecture (DA) support for the Data Engineering team
Define DA for the Data Science teams and participate in review and walk-through sessions for model fit and model producionization
Assist with the definition of custom meta data models for ELT/ETL
Direct data automation capabilities with the Data Engineer and Data Scientist
Profile new data sources in a variety of formats including Json, XML, etc
Define data quality rules with Data Scientists to clean data
Define data mapping and transformation rules between source and datawarehouse
Work closely with Data Engineer to facilitate Data Governance including access and security control
Expert documentation of DA for new data sources, metadata and productionized information flow
What skills you will need
Technical skills core:
Programming in R, Python
Expert database knowledge in SQL and experience with MS Azure
Modern Azure datawarehouse design skills
Exceptional data modelling skills ie physical, dimensional and relational 3N forms
Experience working on large and complex datasets
DevOps/DataOps and CI/CD experience
Strong communicator verbally and in writing
Technical skills additional:
AWS experience
Behavioural skills:
Strong leader
A passion for data
Highly analytical and critical thinker
Self-starter
Willingness to learn and grow exponentially
A restless curiosity in learning new technology
Ability to work cohesively in a team environment and balance multiple priorities
A team player who can work alone when required and without supervision
High level of attention to detail, resilience, enthusiasm, energy and drive
Positive, can-do attitude
Ethical and able to maintain confidentiality and manage boundaries
Aligned to Discovery values and core purpose
Professional Qualifications & Experience
Honours or Master’s degree in BSc Computer Science
Honours or Master’s degree in Engineering or Software Engineering with solid experience in data mining and machine learning
Other qualifications will also be considered if accompanied by the relevant experience
5 to 15 years of experience is preferred

EMPLOYMENT EQUITY

The Company’s approved Employment Equity Plan and Targets will be considered as part of the recruitment process. As an Equal Opportunities employer, we actively encourage and welcome people with various disabilities to apply."
Data Engineer,"Business Unit: Discovery Health
Function: Data Analysis
Date: 24-Jan-2022
Why you should work at Discovery
Discovery is a high-performance organisation that prides itself in attracting the finest talent, we challenge ourselves to find solutions that make a difference in the world. Our environment is always buzzing with energetic, smart, and motivated people who have a bias for action and truly believe in the core purpose and values of Discovery.
What is the role
In the Discovery Health Data Science unit, our core purpose is “creating intelligence for a healthier tomorrow” by leveraging Discovery’s vast data to drive valuable insights to improve both clinical and operational environments. Key to our purpose is obtaining and structuring quality data, leveraging cutting edge analytical innovations and delivering actionable insights in a sustainable and meaningful way. We leverage an integrated, collaborative, and multidisciplinary approach to ensure our objectives and goals are met.
The role entails building a reusable sustainable framework to ensure collection, processing and availability of high quality health care data to enable us to achieve the core purpose. The Data Engineer will work collaboratively with the Program Managers, Data Scientists, Systems Architects to define data sources and to build a custom data framework that facilitates Machine Learning, AI and productionising AI models based on the principles of ETL/ELT. Together these teams will enable data driven actionable insights. The role may include international exposure with Discovery partnerships.
What you will do
The successful applicant will be working within a highly specialized and growing team to enable delivery of data and advanced analytics system capability.
Responsibilities will include:
Develop and implement a reusable architecture of data pipelines to make data available for various purposes including Machine Learning (ML), Analytics and Reporting
Work collaboratively as part of team engaging with system architects, data scientists and business in a healthcare context
Define hardware, tools and software to enable the reusable framework for data sharing and ML model productionization
Work comfortably with structured and unstructured data in a variety of different programming languages such as SQL, R, python, Java etc
Understanding of distributing programming and advising data scientists on how to optimally structure program code for maximum efficiency
Build data solutions that leverage controls to ensure privacy, security, compliance and data quality
Understand meta-data management systems and orchestration architecture in the designing of ML/AI pipelines
Deep understanding of cutting edge cloud technology and frameworks to enable Data Science
System integration skills between Business Intelligence and source transactional
Improving overall production landscape as required
Define strategies with Data Scientists to monitor models post production
Write unit tests and participate in code reviews
What skills you will need
Technical skills core:
Expert in programming languages such as R, Python, Scala and Java
Expert database knowledge in SQL and experience with MS Azure tools such as Data Factory, Synapse Analytics, Data Lake, Databricks, Azure stream analytics and PowerBI
Modern Azure datawarehouse skills
Expert Unix/Linux admin experience including shell script development
Exposure to AI or model development
Experience working on large and complex datasets
Understanding and application of Big Data and distributed computing principles (Hadoop and MapReduce)
ML model optimization skills in a production environment
Production environment machine learning and AI
DevOps/DataOps and CI/CD experience
Technical skills additional:
AWS experience
Behavioural skills:
A passion for programming and working with data
Self-starter
Willingness to learn and grow exponentially
A restless curiosity in learning new technology
Ability to work cohesively in a team environment and balance multiple priorities
A team player who can work alone when required and without supervision
High level of attention to detail, resilience, enthusiasm, energy and drive
Positive, can-do attitude
Ethical and able to maintain confidentiality and manage boundaries
Aligned to Discovery values and core purpose
Professional Qualifications & Experience
Honours or Master’s degree in BSc Computer Science
Honours or Master’s degree in Engineering or Software Engineering with solid experience in data mining and machine learning
Other qualifications will also be considered if accompanied by the relevant experience
EMPLOYMENT EQUITY

The Company’s approved Employment Equity Plan and Targets will be considered as part of the recruitment process. As an Equal Opportunities employer, we actively encourage and welcome people with various disabilities to apply."
REPL Group - Data Scientist,"REPL Group develops and implements technical solutions in the retail space – our experience and expertise delivers visionary professional services and unique solutions that transform business operations.
We’ve worked with all of the world’s top retailers, both locally in South Africa and internationally. These achievements are made possible by hiring the best talent: teams of specialists who share our ambition to deliver the exceptional.
We’re expanding our offering for an in house data science team within REPL Group worldwide, to meet the demands of a growing portfolio of new and exciting projects.
The data science team are part of the delivery consulting team, delivering a data science consulting offering across a wide portfolio of clients and services. As such, we are working on a broad spectrum of activities, ranging from algorithms development, data analysis and software development support.
What you’ll be doing:
Data analysis using either an exploratory or hypothesis driven approaches
Predictive modelling using machine learning techniques such as generalised linear models and Bayesian inference, and Deep Learning
Work side-by-side with clients to provide bespoke data science consultations
Contribute to the development, and ongoing improvement of our in house platforms
Provide data science expertise and support as required to the wider organisation

What we’re looking for:
Strong related academic background i.e. Masters level degree in numerate subject, preferably data science
Theoretical knowledge of classical statistical methods, bayesian learning, and neural networks, and its application to machine learning techniques
Strong Python/R experience
Demonstrable experience with RStudio or Jupyter notebooks
Keen to utilise up-to-date software development practices
Good communications skills, verbal and written
Self-starter, happy to work alone or as part of a team
Willing to occasionally work off-site at supplier or customer sites
It would be a bonus if you had:
Experience with Tensor Flow
Experience of Hadoop
Experience with high level software language such as Scala, Java or C#
Experience of working in an Agile development environment
Experience of utilising a continuous integration approach to software development
Experience of software containers e.g. Docker
Comfortable working with different data science tools"
Data Engineer,"Job Responsibilities

Design, construct, install, test and maintain highly scalable data management systems.

Ensure systems meet business requirements and industry practices.

Build high-performanceprototypes, and proof of concepts.

Research opportunities for data acquisition and new uses for existing data.

Develop data set processes for data modelling, mining and production.

Integrate new data management technologies and software engineering tools into existing structures.

Create custom software components (e.g. specialised UDFs) and analytics applications.

Employ a variety of languages and tools (e.g. scripting languages) to marry systems together.

Install and update disaster recovery procedures.

Recommend ways to improve data reliability, efficiency and quality.

Collaborate with data architects, modellers and IT team members on project goals.

Determine in conjunction with the Data Architect what data management systems are appropriate.

Obtain information from the data Scientist to determine which datais needed for analysis to determine and provide datawhichisneeded.

Support the achievement of thebusiness strategy, objectives and values.

Stay abreast of developments in field of expertise.

Ensure personal growth and enable effectiveness in performance of roles and responsibilities.

Contribute to the company Culture building initiatives (e.g. staff surveys etc.).

Participate and support corporate responsibility initiatives for the achievement of business strategy.

Seek opportunities to improve business processes, models and systems though agile thinking.

Essential Qualifications - NQF Level

Matric / Grade 12 / National Senior Certificate

Advanced Diplomas/National 1st Degrees

Preferred Qualification

BSC Computer science

Preferred Certifications

Relevant certification

Type of Exposure

Working with different databases

Conducting root cause analysis.

Experience in an agile development environment using Scrum and/or Extreme Programming

Minimum Experience Level

5 to 10 yearsexperience across multiple data related disciplines

Technical / Professional Knowledge

Extract, transform and Load Data

Databases

SQL"
Data Scientist,"REPL Group develops and implements technical solutions in the retail space – our experience and expertise delivers visionary professional services and unique solutions that transform business operations.
We’ve worked with all of the world’s top retailers, both locally in South Africa and internationally. These achievements are made possible by hiring the best talent: teams of specialists who share our ambition to deliver the exceptional.
We’re expanding our offering for an in house data science team within REPL Group worldwide, to meet the demands of a growing portfolio of new and exciting projects.
The data science team are part of the delivery consulting team, delivering a data science consulting offering across a wide portfolio of clients and services. As such, we are working on a broad spectrum of activities, ranging from algorithms development, data analysis and software development support.
As an equal opportunity employer we recognise the value of an inclusive workforce and particularly encourage applicants from a diverse range of backgrounds.
What you’ll be doing:
Data analysis using either an exploratory or hypothesis driven approaches
Predictive modelling using machine learning techniques such as generalised linear models and Bayesian inference, and Deep Learning
Work side-by-side with clients to provide bespoke data science consultations
Contribute to the development, and ongoing improvement of our in house platforms
Provide data science expertise and support as required to the wider organisation
What we’re looking for:
Strong related academic background i.e. Masters level degree in numerate subject, preferably data science
Theortical knowledge of classical statistical methods, bayesian learning, and neural networks, and its application to machine learning techniques
Strong Python/R experience
Demonstrable experience with RStudio or Jupyter notebooks
Keen to utilise up-to-date software development practices
Good communications skills, verbal and written
Self-starter, happy to work alone or as part of a team
Willing to occasionally work off-site at supplier or customer sites
It would be a bonus if you had:
Experience with Tensor Flow
Experience of Hadoop
Experience with high level software language such as Scala, Java or C#
Experience of working in an Agile development environment
Experience of utilising a continuous integration approach to software development
Experience of software containers e.g. Docker
Comfortable working with different data science tools"
Senior Data Scientist,"Job title: Senior Data Scientist

Location: JHB/remote

Salary: Competitive
My client is seeking Senior Data Scientist's to join their dynamic team!
Are you looking for the opportunity to work within one of South Africa's leading industries? Would you like to work on large scale and intricate projects? Where your technical skills will not only be challenged, but you will gain exposure to the latest technologies?
Technical requirements:
Extensive experience with R

Extensive experience with Python

Bachelor's agree in Sciences with a strong focus on computer science

Beneficial if fluent in any of the following programming languages (C, C , Visual Basic, Java, SQL)

Good understanding of software languages and software infrastructure


My client can offer you:


100% remote working

Unmatched career progression

Competitive salary
If this sounds interesting and you'd like some more information on the above - get in touch by sending me your contact details and a CV and let's set up a virtual coffee!"
